OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,DateUpdate,SiteReferenceAlternate,Easting,Northing,Planning_Ref,BoundRef
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00857,,"""Neville Road, Halton Moor""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00857,ETRS89,-1.47807729,53.79393649,2.75,owned by a public authority,yes,permissioned,full planning permission,27/07/2017,,,109,Residential development for 109 dwellings and associated access works,,,109,109,,,,11/07/2016,20/12/2022,2143,434377,433220,16/07340/FU,SHL008571
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00860,,"""Barncroft Close, Seacroft""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00860,ETRS89,-1.47292335,53.82818443,0.67,owned by a public authority,yes,permissioned,full planning permission,03/11/2021,,,12,Development of 12No. semi-detached affordable dwellings with associated parking and amenity space. Widening of and extension to existing highway and construction of new turning head; creation of new public open space,,,12,12,,,,11/07/2016,20/12/2022,2146,434688,437032,21/03388/FU,SHL008601
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00890,,"""Area Within Kirkstall Hill, Beecroft Street, Commercial Road""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00890,ETRS89,-1.59829124,53.81531660,3.62,owned by a public authority,yes,permissioned,full planning permission,11/03/2021,,,263,"Demolition of existing buildings and structures and redevelopment of the site for a mixed-use development comprising up to 263 residential units (Use Class C3) and flexible commercial floorspace (Use Class A1, A2 or B1a); together with associated vehicular access, car and cycle parking spaces, bin stores, plant, landscaping, amenity space and associated infrastructure and engineering works.",,,263,263,,,,11/07/2016,20/12/2022,3014,426446,435547,19/01666/FU,SHL008901
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00893,,"""St Peters Church And House, Chantrell House, Leeds Parish Church, Kirkgate""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00893,ETRS89,-1.53442800,53.79454858,0.33,not owned by a public authority,yes,permissioned,full planning permission,08/07/2013,,,27,"Change of use including refurbishment and extensions to 2 church buildings with 2 flats, to form offices and 14 flats and erect 5 storey block comprising office and 21 flats, with car parking - Variation of conditions 21, 33 and 37 of previous approval 09/03230/FU relating to floor levels, windows and approved plans",,,27,27,,,,11/07/2016,20/12/2022,3017,430665,433262,13/00819/FU,SHL008931
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00894,,"""4 St Peters Place, Leeds, LS9 8AQ""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00894,ETRS89,-1.53142255,53.79660106,0.02,not owned by a public authority,,not permissioned,,,,,18,,,,18,18,,,,11/07/2016,20/12/2022,3018,430861,433492,,SHL008941
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00977,,"""Malvern Rise, LS11""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00977,ETRS89,-1.55319594,53.77913880,0.82,owned by a public authority,,not permissioned,,,,,60,,,,60,60,,,,11/07/2016,20/12/2022,3142,429440,431540,,SHL009771
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00980,,"""Bismarck Street, LS11""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00980,ETRS89,-1.54538844,53.77929524,1.30,owned by a public authority,yes,permissioned,reserved matters approval,01/03/2011,,,10,"Reserved matters application for residential development comprising 40 flats in 2 and 3 storey blocks and 30 dwelling houses, highways works, car parking and landscaping",,,10,10,,,,11/07/2016,20/12/2022,3145,429954,431560,10/05220/RM,SHL009801
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00982,,"""Waverley Garth, LS11""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00982,ETRS89,-1.54899952,53.77897396,0.75,owned by a public authority,,not permissioned,,,,,30,,,,30,30,,,,11/07/2016,20/12/2022,3147,429716,431523,,SHL009821
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00987,,"""Spen Common Lane, Bramham""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00987,ETRS89,-1.32329827,53.86773266,0.84,not owned by a public authority,,not permissioned,,,,,9,,,,9,9,,,,11/07/2016,20/12/2022,3152,444493,441515,,SHL009871
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00996,,"""Rocheford Court, Pepper Lane, Hunslet, Leeds""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00996,ETRS89,-1.52009920,53.77597390,0.34,owned by a public authority,yes,not permissioned,,,,,11,,,,11,11,,,,11/07/2016,20/12/2022,3182,431623,431202,,SHL009962
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00997,,"""The Former Dutton Arms, Queenswood Drive, Headingley, Leeds""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00997,ETRS89,-1.59657010,53.82220024,0.21,not owned by a public authority,yes,permissioned,full planning permission,14/08/2012,,,1,"4 pairs of semi-detached houses, associated car parking and new vehicular access",,,1,1,,,,11/07/2016,20/12/2022,3184,426555,436313,12/02701/FU,SHL009971
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01000,,"""Station Garage Henshaw Lane Yeadon""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01000,ETRS89,-1.68735133,53.86053982,0.26,not owned by a public authority,,not permissioned,,,,,5,,,,5,5,,,,11/07/2016,20/12/2022,3187,420560,440548,,SHL010001
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01010,,"""Stonebridge Lane LS12""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01010,ETRS89,-1.61049977,53.79160748,0.38,not owned by a public authority,yes,permissioned,full planning permission,18/09/2019,,,110,Change of use of mill buildings to provide 30 dwellings and the construction of 82 new dwellings (112 dwellings in total) with associated access and landscaping,,,110,110,,,,20/12/2022,20/12/2022,3198,425656,432905,18/02140/FU,SHL010101
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01025,,"""Wakefield Road Drighlington""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01025,ETRS89,-1.65238608,53.75328521,0.31,not owned by a public authority,yes,permissioned,full planning permission,01/05/2019,,,5,Erection of one block of five terrace houses,,,5,5,,,,11/07/2016,20/12/2022,3216,422918,428627,15/00849/FU,SHL010251
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01042,,"""The Old Vic, 17 Whitecote Hill, Bramley, Leeds""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01042,ETRS89,-1.63658601,53.81481608,0.33,not owned by a public authority,,not permissioned,,,,,9,,,,9,9,,,,11/07/2016,20/12/2022,3304,423925,435477,,SHL010421
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01078,,"""Rear Of The Hollies, Park Avenue, Roundhay, Leeds, LS8 2jj""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01078,ETRS89,-1.49653576,53.83179925,0.33,not owned by a public authority,yes,permissioned,full planning permission,12/12/2011,,,5,4 five bedroom terrace houses and 1 five bedroom house,,,5,5,,,,11/07/2016,20/12/2022,3341,433131,437423,11/02881/FU,SHL010781
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01091,,"""New Wortley Labour Club, Oak Road, New Wortley, Leeds, LS12 2hj""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01091,ETRS89,-1.57203825,53.79446192,0.25,not owned by a public authority,,not permissioned,,,,,9,,,,9,9,,,,11/07/2016,20/12/2022,3354,428188,433237,,SHL010911
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01113,,"""Finning (uk) Ltd, Gelderd Road, Gildersome, LS27 7JS""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01113,ETRS89,-1.62908083,53.75347559,3.81,not owned by a public authority,,not permissioned,,,,,85,,,,85,85,,,,11/07/2016,20/12/2022,3378,424455,428656,,SHL011131
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01119,,"""Site of Makro Supermarket on Royds Lane, Lower Wortley, Leeds""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01119,ETRS89,-1.59150244,53.77832551,3.70,not owned by a public authority,,not permissioned,,,,,100,,,,100,100,,,,11/07/2016,20/12/2022,3386,426916,431434,,SHL011191
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01127,,"""Sugar Mill, Oakhurst Avenue (just Off Dewsbury Road), Leeds, LS11 7DF""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01127,ETRS89,-1.56035203,53.76609183,1.85,not owned by a public authority,,not permissioned,,,,,40,,,,40,40,,,,11/07/2016,20/12/2022,3394,428977,430085,,SHL011271
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01141,,"""New Wortley, Wellington Road Industrial Estate, Wellington Road, LS12 2ue, Leeds""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01141,ETRS89,-1.56307800,53.79634466,2.48,not owned by a public authority,,not permissioned,,,,,325,,,,325,325,,,,11/07/2016,20/12/2022,3408,428777,433450,,SHL011411
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01145,,"""Site At Waterloo Lane And Waterloo Way, LS13 2, Leeds""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01145,ETRS89,-1.62422086,53.81274334,1.24,not owned by a public authority,,not permissioned,,,,,20,,,,20,20,,,,11/07/2016,20/12/2022,3412,424740,435251,,SHL011451
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01186,,"""Holdforth Place, New Wortley, LS12 1""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01186,ETRS89,-1.57046979,53.79336349,0.82,owned by a public authority,yes,permissioned,full planning permission,23/08/2021,,,22,22 no. social affordable rented dwellings consisting of 15 family houses and 7 apartments,,,22,22,,,,11/07/2016,20/12/2022,3454,428292,433115,20/00006/FU,SHL011861
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01201,,"""Park Lees, St Anthony's Road, Beeston""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01201,ETRS89,-1.56783708,53.77110707,0.52,owned by a public authority,,not permissioned,,,,,18,,,,18,18,,,,11/07/2016,20/12/2022,4002,428480,430640,,SHL012011
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01208,,"""Kirkland House, Queensway, Yeadon, LS19 7rd""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01208,ETRS89,-1.69070276,53.86966565,0.47,owned by a public authority,,not permissioned,,,,,17,,,,17,17,,,,11/07/2016,20/12/2022,4019,420336,441562,,SHL012081
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01219,,"""Throstle Mount, Middleton""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01219,ETRS89,-1.54697048,53.74008670,0.37,owned by a public authority,,not permissioned,,,,,15,,,,15,15,,,,11/07/2016,20/12/2022,4035,429878,427198,,SHL012191
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01222,,"""Regina House, Ring Road, Bramley, LS13 4et""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01222,ETRS89,-1.62690458,53.79996970,1.79,not owned by a public authority,,not permissioned,,,,,44,,,,44,44,,,,11/07/2016,20/12/2022,4039,424571,433829,,SHL012221
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01241,,"""Former Shaftsbury Public House, York Road, Harehills""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01241,ETRS89,-1.49669951,53.80173862,0.63,not owned by a public authority,,not permissioned,,,,,23,,,,23,23,,,,11/07/2016,20/12/2022,4060,433144,434079,,SHL012411
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01244,,"""Wood Farm, Wetherby Road, Scarcroft, LS14 3hn""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01244,ETRS89,-1.45149904,53.86308782,1.27,not owned by a public authority,yes,permissioned,full planning permission,01/09/2021,,,9,Demolition of Existing Livery Buildings and Erection 9 no. Residential Dwellings,,,9,9,,,,20/12/2022,20/12/2022,4066,436068,440926,18/05022/FU,SHL012441
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01250,,"""Mercure Hotel, Leeds Road, Wetherby""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01250,ETRS89,-1.38601221,53.92426361,1.85,not owned by a public authority,,not permissioned,,,,,79,,,,79,79,,,,20/12/2022,20/12/2022,4075,440316,447767,,SHL012501
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01253,,"""Windlesford Green Hostel, Woodlesford""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01253,ETRS89,-1.45931027,53.75603461,0.71,owned by a public authority,,not permissioned,,,,,26,,,,26,26,,,,11/07/2016,20/12/2022,4082,435645,429013,,SHL012531
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01267,,"""Seacroft Green Social Club, Seacroft""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01267,ETRS89,-1.46084938,53.82011278,0.83,owned by a public authority,yes,permissioned,full planning permission,17/03/2020,,,60,"Extra Care housing facility comprising 64 units including associated community facilities parking, access, landscaping and infrastructure",,,60,60,,,,11/07/2016,20/12/2022,4110,435490,436140,19/04976/FU,SHL012672
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01272,,"""Land At Hawkshead Crescent, Seacroft""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01272,ETRS89,-1.46592333,53.81142124,0.78,owned by a public authority,yes,permissioned,full planning permission,03/03/2021,,,41,"Development for 41 no. new build 1,2 & 3 bedroom houses and bungalows with associated parking and garden facilities",,,41,41,,,,11/07/2016,20/12/2022,4120,435163,435171,20/05392/FU,SHL012721
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01311,,"""Belmont House, 20 Wood Lane, Headingley, Leeds, LS6 2ae""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01311,ETRS89,-1.57022479,53.82134481,0.53,not owned by a public authority,yes,permissioned,full planning permission,08/07/2022,,,21,"Conversion and extension of Belmont House to create 9 no. residential apartments; and 1 no, town house: Demolition of Roundhouse and the construction of one block of 8 no. residential apartments: demolition of the coach house and the construction of one block of 6 no. residential apartments: associated parking and landscaping.",,,21,21,,,,20/12/2022,20/12/2022,4184,428289,436228,21/03265/FU,SHL013111
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01316,,"""Former Pudsey Grangefield School, Mount Pleasant Road, Pudsey, LS28""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01316,ETRS89,-1.66177849,53.79861847,0.94,owned by a public authority,yes,permissioned,full planning permission,19/03/2020,,,12,Conversion and extension of former school science block to form 12 apartments with car parking,,,12,12,,,,20/12/2022,20/12/2022,4189,422275,433667,19/02299/FU,SHL013161
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01317,,"""Forsyth House, 5 South Parade, Leeds, LS1 5qx""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01317,ETRS89,-1.54672228,53.79901275,0.04,not owned by a public authority,yes,permissioned,determination for permitted development,21/04/2016,,,21,Change of use of offices (B1) to form 34 flats,,,21,21,,,,11/07/2016,20/12/2022,4190,429852,433753,16/01319/DPD,SHL013171
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01318,,"""Land At Brooksbank Drive, Halton, Leeds, LS15""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01318,ETRS89,-1.46766356,53.79677993,0.24,owned by a public authority,yes,permissioned,reserved matters approval,08/09/2014,,,2,"6No. dwellings (3 Terraces houses, 1No. pairs of semi-detached properties (1No. detached dwellings)",,,2,2,,,,11/07/2016,20/12/2022,4191,435061,433541,14/02101/RM,SHL013181
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01323,,"""Royal Oak, Cross Hills, Kippax, Leeds, LS25""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01323,ETRS89,-1.36989660,53.76620136,0.23,not owned by a public authority,yes,permissioned,full planning permission,14/08/2013,,,4,Amendment to previous approval 12/03915/FU (Change of use involving alterations and single storey side extension of vacant public house to form 7 flats and erection of detached retail unit with flat above) to include additional block of 4 self contained flats,,,4,4,,,,11/07/2016,20/12/2022,4196,441530,430192,13/01879/FU,SHL013231
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01324,,"""St Lawrence House, Crawshaw Road, Pudsey, LS28 7ub""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01324,ETRS89,-1.66183041,53.79411515,0.24,owned by a public authority,yes,not permissioned,,,,,1,,,,1,1,,,,11/07/2016,20/12/2022,4197,422274,433166,,SHL013241
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01326,,"""Town End Works, Back Lane, Bramley, Leeds, LS13 4es""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01326,ETRS89,-1.62374913,53.80470703,0.25,not owned by a public authority,,not permissioned,,,,,28,,,,28,28,,,,11/07/2016,20/12/2022,4199,424776,434357,,SHL013261
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01344,,"""Cookridge Fire Station, Otley Old Road, LS16 7bf""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01344,ETRS89,-1.61077635,53.85366145,0.42,not owned by a public authority,,not permissioned,,,,,10,,,,10,10,,,,11/07/2016,20/12/2022,4217,425600,439808,,SHL013441
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01360,,"""Land Off Farrar Lane, Holt Park, LS16 7""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01360,ETRS89,-1.60270797,53.85457279,0.86,owned by a public authority,,not permissioned,,,,,16,,,,16,16,,,,11/07/2016,20/12/2022,4233,426130,439912,,SHL013601
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01400,,"""Land At 25 - 29 High Street, Kippax""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01400,ETRS89,-1.36742228,53.76681526,0.40,not owned by a public authority,,not permissioned,,,,,16,,,,16,16,,,,11/07/2016,20/12/2022,5013,441692,430262,,SHL014001
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01401,,"""Gledhow Road/gledhow Terrace""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01401,ETRS89,-1.52291374,53.80964416,0.43,owned by a public authority,,not permissioned,,,,,25,,,,25,25,,,,11/07/2016,20/12/2022,5014,431412,434946,,SHL014011
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01402,,"""Kendall Carr, Hanover Mount, Woodhouse""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01402,ETRS89,-1.55923315,53.80187202,0.20,owned by a public authority,yes,permissioned,full planning permission,18/02/2015,,,1,"Demolition of existing vacant building and replacement with new residential block of 23 flats, with associated vehicular access, parking and landscaping",,,1,1,,,,11/07/2016,20/12/2022,5015,429026,434066,14/06675/FU,SHL014021
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01404,,"""Amberton Hop, Thorn Mount, Gipton""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01404,ETRS89,-1.49670464,53.81519849,0.55,owned by a public authority,,not permissioned,,,,,20,,,,20,20,,,,11/07/2016,20/12/2022,5017,433133,435576,,SHL014041
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01407,,"""Burley Willows Care Home, Willow Garth, Burley""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01407,ETRS89,-1.57221699,53.80472567,0.47,owned by a public authority,,not permissioned,,,,,28,,,,28,28,,,,11/07/2016,20/12/2022,5020,428169,434379,,SHL014071
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01408,,"""Leeds Valve Co Ltd, 23 - 25 Town End, Gildersome, Morley, Leeds, LS27 7HF""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01408,ETRS89,-1.62596227,53.75910273,0.28,not owned by a public authority,,not permissioned,,,,,9,,,,9,9,,,,11/07/2016,20/12/2022,5100,424657,429283,,SHL014081
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01412,,"""18 Queen Square, Leeds, LS2""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01412,ETRS89,-1.54285513,53.80332303,0.03,not owned by a public authority,yes,permissioned,full planning permission,10/07/2013,,,4,Change of use and alterations of vacant offices to seven flats,,,4,4,,,,11/07/2016,20/12/2022,5104,430104,434235,13/01681/FU,SHL014121
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01427,,"""Timber Tops Forsythia Avenue East Ardsley""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01427,ETRS89,-1.54074693,53.72447958,0.22,not owned by a public authority,yes,permissioned,reserved matters approval,09/06/2017,,,8,Reserved Matters Application for eight dwellings,,,8,8,,,,11/07/2016,20/12/2022,5117,430299,425464,17/02395/RM,SHL014271
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01430,,"""Whitecote Hill LS13""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01430,ETRS89,-1.63686728,53.81505888,0.24,not owned by a public authority,yes,permissioned,reserved matters approval,29/06/1999,,,5,1 block of 4 two bedroom flats and detached block of garages,,,5,5,,,,11/07/2016,20/12/2022,5120,423906,435504,24/56/99/RM,SHL014301
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01431,,"""Parkside Works Otley Road Guiseley""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01431,ETRS89,-1.71274472,53.87329890,0.24,not owned by a public authority,,not permissioned,,,,,7,,,,7,7,,,,11/07/2016,20/12/2022,5121,418885,441961,,SHL014311
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01432,,"""17 Regent Street Sheepscar""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01432,ETRS89,-1.53196914,53.80297674,0.23,not owned by a public authority,,not permissioned,,,,,73,,,,73,73,,,,11/07/2016,20/12/2022,5122,430821,434201,,SHL014321
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01438,,"""Main Street Mickletown""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01438,ETRS89,-1.39994820,53.73983289,0.26,owned by a public authority,yes,permissioned,full planning permission,25/09/2020,,,9,9 dwellings to vacant site,,,9,9,,,,20/12/2022,20/12/2022,5128,439574,427242,17/03077/FU,SHL014381
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01439,,"""Sharp Lane Robin Hood""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01439,ETRS89,-1.50856784,53.74359730,0.29,not owned by a public authority,yes,permissioned,reserved matters approval,31/03/2008,,,9,Laying out of access road and erection of 9 houses,,,9,9,,,,11/07/2016,20/12/2022,5129,432408,427605,06/03301/RM,SHL014391
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01445,,"""Musgrave Court Crawshaw Road Pudsey""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01445,ETRS89,-1.66118619,53.79306579,0.39,owned by a public authority,,not permissioned,,,,,14,,,,14,14,,,,11/07/2016,20/12/2022,5135,422317,433050,,SHL014451
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01467,,"""6 - 12 Lands Lane, LS1 6LD""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01467,ETRS89,-1.54168551,53.79769779,0.05,not owned by a public authority,yes,permissioned,full planning permission,08/06/2021,,,6,"Mixed-use development comprising 17 residential units (Use Class C3) to the first, second and third floors and commeical use (Use Class E) that the basement, and ground floors",,,6,6,,,,11/07/2016,20/12/2022,5157,430185,433609,20/00565/FU,SHL014671
